Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Maanpintaminimi (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2020,8,14,00:00,UTC,-1,-,15.7,-,21.8,8.4
2020,8,15,00:00,UTC,-1,-,20.1,-,25.7,14.7
2020,8,16,00:00,UTC,-1,-,18.9,-,23.7,15
2020,8,17,00:00,UTC,-1,-,14.9,-,21.1,7.7
2020,8,18,00:00,UTC,-1,-,16.3,-,23.8,7.4
2020,8,19,00:00,UTC,-1,-,18.9,-,25.4,12.8
2020,8,20,00:00,UTC,-1,-,18.3,-,25,11.5
2020,8,21,00:00,UTC,4.4,-,19,-,25.3,11.3
2020,8,22,00:00,UTC,8.6,-,17.1,-,20.4,16.2
2020,8,23,00:00,UTC,-1,-,18.5,-,22.1,16.8
2020,8,24,00:00,UTC,-1,-,15.8,-,20.2,13.7
2020,8,25,00:00,UTC,2.2,-,12.6,-,19.4,6.6
2020,8,26,00:00,UTC,-1,-,12.7,-,18.9,6.2
2020,8,27,00:00,UTC,-1,-,12,-,17.6,5.7
2020,8,28,00:00,UTC,-1,-,12,-,17.9,6.6
2020,8,29,00:00,UTC,3.5,-,12.8,-,18.8,6.9
2020,8,30,00:00,UTC,1.5,-,12.4,-,14.3,10.2
2020,8,31,00:00,UTC,0.1,-,12.3,-,14.5,11.9
2020,9,1,00:00,UTC,-1,-,12.3,-,18.8,6.5
2020,9,2,00:00,UTC,-1,-,12.7,-,17.4,5.2
2020,9,3,00:00,UTC,0.3,-,15.1,-,17.2,12.7
2020,9,4,00:00,UTC,0.5,-,15.7,-,19.1,14
2020,9,5,00:00,UTC,3.3,-,14.1,-,17,11.8
2020,9,6,00:00,UTC,0.5,-,13.2,-,16.6,10.1
2020,9,7,00:00,UTC,-1,-,11.8,-,18,5.7
2020,9,8,00:00,UTC,4.6,-,11,-,13.8,7.4
2020,9,9,00:00,UTC,19.4,-,12,-,15.3,6.9
2020,9,10,00:00,UTC,-1,-,11.5,-,14.3,9.5
2020,9,11,00:00,UTC,0.6,-,10,-,14.2,7.6
2020,9,12,00:00,UTC,5.4,-,12.3,-,15,7.7
2020,9,13,00:00,UTC,-1,-,11.9,-,16,9.9
2020,9,14,00:00,UTC,-1,-,11.7,-,17.6,7.1
2020,9,15,00:00,UTC,0.5,-,10.6,-,15.9,5.5
2020,9,16,00:00,UTC,1,-,12.3,-,16.4,9.1
2020,9,17,00:00,UTC,1.1,-,8,-,11.8,6.3
2020,9,18,00:00,UTC,-1,-,10.4,-,16,5.2
2020,9,19,00:00,UTC,-1,-,9.6,-,14.5,6.5
2020,9,20,00:00,UTC,-1,-,10.1,-,15.2,2.5
2020,9,21,00:00,UTC,-1,-,12.2,-,14.4,7.9
2020,9,22,00:00,UTC,-1,-,13,-,16.4,10.8
2020,9,23,00:00,UTC,-1,-,14.1,-,19.7,9.5
2020,9,24,00:00,UTC,0.2,-,16.1,-,21.8,12.7
2020,9,25,00:00,UTC,-1,-,15.3,-,17.6,13.7
2020,9,26,00:00,UTC,-1,-,15.4,-,20.7,11.8
2020,9,27,00:00,UTC,-1,-,14.9,-,21.1,9.7
2020,9,28,00:00,UTC,-1,-,13.3,-,18,8.8
2020,9,29,00:00,UTC,0.8,-,12.5,-,13.9,11.3
2020,9,30,00:00,UTC,-1,-,11.8,-,15.4,10.3
2020,10,1,00:00,UTC,-1,-,11.3,-,17,5.8
2020,10,2,00:00,UTC,-1,-,11.7,-,16.4,7
2020,10,3,00:00,UTC,-1,-,11.8,-,16.2,7
2020,10,4,00:00,UTC,1,-,12.6,-,14.3,11.4
2020,10,5,00:00,UTC,4.9,-,13.5,-,17.8,9.4
2020,10,6,00:00,UTC,0.5,-,13.3,-,14.3,8.7
2020,10,7,00:00,UTC,3,-,12.2,-,14.9,10.7
2020,10,8,00:00,UTC,17.5,-,12.5,-,14.6,11.7
2020,10,9,00:00,UTC,1.8,-,10.8,-,12.8,9.7
2020,10,10,00:00,UTC,2.7,-,9.6,-,12.8,7.2
2020,10,11,00:00,UTC,2.7,-,9.1,-,13.5,5.4
2020,10,12,00:00,UTC,4.2,-,7.3,-,11.8,3.2
2020,10,13,00:00,UTC,3.1,-,6.9,-,9.6,4.9
2020,10,14,00:00,UTC,-1,-,6.3,-,7.9,4.1
2020,10,15,00:00,UTC,-1,-,3.9,-,6.3,0.5
2020,10,16,00:00,UTC,-1,-,2.7,-,6.5,1.1
2020,10,17,00:00,UTC,2.2,-,4.3,-,7.2,-2.2
2020,10,18,00:00,UTC,2.3,-,3.3,-,7.2,0.1
2020,10,19,00:00,UTC,0.2,-,0.9,-,1.9,0
2020,10,20,00:00,UTC,2.2,-,0.6,-,2.4,-1.6
2020,10,21,00:00,UTC,5,-,3.3,-,5.9,-2
2020,10,22,00:00,UTC,17.4,-,8.5,-,9.3,5.8
2020,10,23,00:00,UTC,0.3,-,5.7,-,10.2,2.1
2020,10,24,00:00,UTC,-1,-,2.4,-,6,-1.2
2020,10,25,00:00,UTC,0.8,-,2.9,-,6.1,-2.2
2020,10,26,00:00,UTC,0.2,-,10,-,11.4,6.1
2020,10,27,00:00,UTC,6.3,-,10.2,-,11.8,9.2
2020,10,28,00:00,UTC,0.7,-,9.1,-,10.8,7.9
2020,10,29,00:00,UTC,-1,-,8.8,-,11.2,7.2
2020,10,30,00:00,UTC,-1,-,7.2,-,10.1,5
2020,10,31,00:00,UTC,0.1,-,4.2,-,6,2
2020,11,1,00:00,UTC,-1,-,7.6,-,8,5.6
2020,11,2,00:00,UTC,11.1,-,7.3,-,8.2,6.1
2020,11,3,00:00,UTC,0.3,-,10,-,12.5,8
2020,11,4,00:00,UTC,0.3,-,6.1,-,8.9,4.3
2020,11,5,00:00,UTC,-1,-,6.3,-,7.8,3.5
2020,11,6,00:00,UTC,-1,-,8.5,-,10.7,5.7
2020,11,7,00:00,UTC,0.1,-,8,-,11.8,4.6
2020,11,8,00:00,UTC,-1,-,2.6,-,7.9,-0.1
2020,11,9,00:00,UTC,-1,-,3.3,-,6.6,-1.1
2020,11,10,00:00,UTC,0.1,-,0.4,-,3.9,-2.1
2020,11,11,00:00,UTC,2.7,-,3.2,-,5.2,-0.5
2020,11,12,00:00,UTC,-1,-,5.5,-,6.6,4.5
2020,11,13,00:00,UTC,0.1,-,4,-,4.5,3.6
2020,11,14,00:00,UTC,-1,-,3.1,-,3.7,2.5
2020,11,15,00:00,UTC,-1,-,3.2,-,4.4,1.9
2020,11,16,00:00,UTC,4.4,-,3.3,-,3.9,2
2020,11,17,00:00,UTC,15.2,-,5.4,-,5.8,3.8
2020,11,18,00:00,UTC,5.8,-,8.6,-,10,5.7
2020,11,19,00:00,UTC,10,-,7.1,-,11.4,1
2020,11,20,00:00,UTC,0.4,-,0,-,2.2,-2.4
2020,11,21,00:00,UTC,9.9,-,0.4,-,3.8,-4.2
2020,11,22,00:00,UTC,-1,-,5,-,6,3.8
2020,11,23,00:00,UTC,1,-,3.6,-,5.3,2.3
2020,11,24,00:00,UTC,-1,-,0.6,-,3.6,-3
2020,11,25,00:00,UTC,6.1,-,-0.1,-,3.4,-4.2
2020,11,26,00:00,UTC,-1,-,4,-,7.1,1.4
2020,11,27,00:00,UTC,-1,-,-0.1,-,1.4,-1.5
2020,11,28,00:00,UTC,-1,-,0.4,-,0.9,-0.4
2020,11,29,00:00,UTC,-1,-,0.1,-,0.9,-0.7
2020,11,30,00:00,UTC,2.3,-,-0.5,-,0.2,-3.1
2020,12,1,00:00,UTC,1.2,-,2.2,-,3.7,0.2
2020,12,2,00:00,UTC,0.1,-,1.8,-,3.2,-0.4
2020,12,3,00:00,UTC,-1,-,-0.8,-,0.6,-1.6
2020,12,4,00:00,UTC,1.3,-,0.6,-,1.1,-0.8
2020,12,5,00:00,UTC,0.1,-,2.7,-,3.7,1.1
2020,12,6,00:00,UTC,0.1,-,2.9,-,3.7,2.6
2020,12,7,00:00,UTC,-1,-,0.6,-,2.8,-0.8
2020,12,8,00:00,UTC,-1,-,-2.4,-,-0.7,-3.2
2020,12,9,00:00,UTC,-1,-,-3.2,-,-2.2,-4.6
2020,12,10,00:00,UTC,-1,-,-3.6,-,-2.3,-6.6
2020,12,11,00:00,UTC,0.4,-,-3,-,-1.9,-3.6
2020,12,12,00:00,UTC,0.7,-,-0.5,-,1.2,-3
2020,12,13,00:00,UTC,-1,-,-2.3,-,0,-3.5
2020,12,14,00:00,UTC,-1,-,-2.3,-,-1.8,-2.6
2020,12,15,00:00,UTC,3.7,-,-0.1,-,1.5,-2.6
2020,12,16,00:00,UTC,3.3,-,1.8,-,3.8,0.4
2020,12,17,00:00,UTC,1,-,-0.6,-,3.1,-3.2
2020,12,18,00:00,UTC,4.8,-,0.6,-,1.2,-1.7
2020,12,19,00:00,UTC,0.8,-,2.1,-,4.3,0.5
2020,12,20,00:00,UTC,0.2,-,5.5,-,6.1,4.2
2020,12,21,00:00,UTC,3.9,-,3.4,-,6,1.9
2020,12,22,00:00,UTC,3.7,-,3.8,-,5.1,3.1
2020,12,23,00:00,UTC,2.3,-,0.7,-,3.1,0.2
2020,12,24,00:00,UTC,0.7,-,0.7,-,1.3,-0.3
2020,12,25,00:00,UTC,0.6,-,-0.3,-,0.4,-1
2020,12,26,00:00,UTC,-1,-,-2.8,-,-0.6,-3.1
2020,12,27,00:00,UTC,1,-,-0.6,-,0.6,-3.3
2020,12,28,00:00,UTC,2,-,-0.4,-,0.7,-1.3
2020,12,29,00:00,UTC,1.3,-,-0.1,-,0.7,-0.3
2020,12,30,00:00,UTC,9.5,-,0.8,-,2.3,-0.4
2020,12,31,00:00,UTC,8.6,-,0.7,-,3.1,0
